participantId,intervalStartTime,intervalEndTime,currentLocations
14,2022-03-01 14:30:00+00:00,2022-03-01 14:35:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (1523.799196451084 4009.941627609541)']"
14,2022-03-01 20:40:00+00:00,2022-03-01 20:45:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (1591.8298888318336 4013.7639158217444)']"
15,2022-03-01 16:00:00+00:00,2022-03-01 16:10:00+00:00,"['POINT (-3927.9102395808727 5494.63962663673)', 'POINT (-3794.8445326652495 5762.641663843371)', 'POINT (-3916.0953360485632 5960.891116793708)']"
15,2022-03-01 08:10:00+00:00,2022-03-01 08:20:00+00:00,"['POINT (-1176.8013302032396 5846.6471242364805)', 'POINT (-1502.1499471205514 5797.893279166081)', 'POINT (-1675.0510095550928 5609.338507213533)']"
16,2022-03-01 12:35:00+00:00,2022-03-01 12:40:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (992.0250197535568 4095.370986469501)']"
17,2022-03-01 13:45:00+00:00,2022-03-01 13:50:00+00:00,"['POINT (-2126.1723943111892 4285.182228265561)', 'POINT (-1997.4825405645267 4173.8585192745295)']"
18,2022-03-01 13:20:00+00:00,2022-03-01 13:30:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (1145.055027682096 3828.2363613621983)', 'POINT (1160.3569836610059 3677.158239953999)']"
19,2022-03-01 15:40:00+00:00,2022-03-01 15:45:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (1499.0138236678185 4011.478496900578)']"
19,2022-03-01 23:00:00+00:00,2022-03-01 23:10:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (930.4149642879935 4060.0495537933452)', 'POINT (967.0062336801503 3981.340927609539)']"
20,2022-03-01 16:30:00+00:00,2022-03-01 16:45:00+00:00,"['POINT (698.2411158717262 4392.416668183332)', 'POINT (604.4333856450602 4151.421139320504)', 'POINT (618.6701169170694 3734.1107552804774)', 'POINT (597.7592731798527 3631.8598904012224)']"
20,2022-03-01 08:25:00+00:00,2022-03-01 08:40:00+00:00,"['POINT (698.2411158717262 4392.416668183332)', 'POINT (604.4333856450602 4151.421139320504)', 'POINT (618.6701169170694 3734.1107552804774)', 'POINT (597.7592731798527 3631.8598904012224)']"
21,2022-03-01 12:10:00+00:00,2022-03-01 12:20:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (930.4149642879935 4060.0495537933452)', 'POINT (803.8794909700774 4107.0117745652105)']"
22,2022-03-01 16:05:00+00:00,2022-03-01 16:10:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (1638.0187036572258 4230.17519528173)']"
23,2022-03-01 06:25:00+00:00,2022-03-01 06:30:00+00:00,"['POINT (-1623.0740591441258 3872.0300113645017)', 'POINT (-1701.0641986732053 3854.4454669136358)']"
23,2022-03-01 13:05:00+00:00,2022-03-01 13:20:00+00:00,"['POINT (-1623.0740591441258 3872.0300113645017)', 'POINT (-1288.973858577208 3711.692127221675)', 'POINT (-904.3387634014261 3680.4092367064686)', 'POINT (-499.95314374688047 3540.541014714646)']"
24,2022-03-01 11:20:00+00:00,2022-03-01 11:25:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (1752.6841536194854 4025.7632729998827)']"
25,2022-03-01 13:10:00+00:00,2022-03-01 13:15:00+00:00,"['POINT (413.840000705876 1194.128694228948)', 'POINT (420.58595287626724 1034.231407601525)']"
25,2022-03-01 19:10:00+00:00,2022-03-01 19:20:00+00:00,"['POINT (413.840000705876 1194.128694228948)', 'POINT (653.0249310096121 1045.6277551766495)', 'POINT (778.0277764165714 933.6360054015785)']"
26,2022-03-01 16:10:00+00:00,2022-03-01 16:20:00+00:00,"['POINT (497.9967937001494 1624.515148185587)', 'POINT (21.75570206567331 1659.4249457825504)', 'POINT (-91.00307736962901 1524.2056166913846)']"
27,2022-03-01 14:40:00+00:00,2022-03-01 14:45:00+00:00,"['POINT (-1989.63526350385 3368.764837974986)', 'POINT (-2210.72614767538 3467.339297847116)']"
28,2022-03-01 09:05:00+00:00,2022-03-01 09:10:00+00:00,"['POINT (-3182.885940731813 7167.608699410916)', 'POINT (-3209.9368537493483 7171.529637146424)']"
29,2022-03-01 09:00:00+00:00,2022-03-01 09:05:00+00:00,"['POINT (497.9967937001494 1624.515148185587)', 'POINT (292.6318810639643 1738.7113467054796)']"
30,2022-03-01 14:05:00+00:00,2022-03-01 14:15:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (1145.055027682096 3828.2363613621983)', 'POINT (1113.2679418498767 3716.721657209351)']"
31,2022-03-01 11:45:00+00:00,2022-03-01 11:55:00+00:00,"['POINT (-3136.1278958093117 6671.917461867151)', 'POINT (-3105.976029630407 6248.2598028299335)', 'POINT (-3078.0756481397043 6285.456073404301)']"
32,2022-03-01 13:55:00+00:00,2022-03-01 14:15:00+00:00,"['POINT (-820.9290279479601 4497.243308530136)', 'POINT (-485.3628417410773 4408.495089625616)', 'POINT (-452.16093775275687 3989.9925773844875)', 'POINT (-220.69440245253037 3750.5003986249194)', 'POINT (-181.82627500051785 3684.6428683961435)']"
33,2022-03-01 12:25:00+00:00,2022-03-01 12:30:00+00:00,"['POINT (-3529.558386975454 4809.641127666926)', 'POINT (-3578.0803339737495 4896.838923124657)']"
35,2022-03-01 14:05:00+00:00,2022-03-01 14:10:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (996.4748879370167 4101.198251919474)']"
36,2022-03-01 11:40:00+00:00,2022-03-01 11:45:00+00:00,"['POINT (497.9967937001494 1624.515148185587)', 'POINT (514.9339139852839 1385.362675233428)']"
37,2022-03-01 16:35:00+00:00,2022-03-01 16:40:00+00:00,"['POINT (-1221.4051100732 4941.00338419236)', 'POINT (-817.6310988867782 5039.5618199686605)']"
37,2022-03-01 08:20:00+00:00,2022-03-01 08:25:00+00:00,"['POINT (-1221.4051100732 4941.00338419236)', 'POINT (-817.6310988867782 5039.5618199686605)']"
38,2022-03-01 13:50:00+00:00,2022-03-01 13:55:00+00:00,"['POINT (-3927.9102395808727 5494.63962663673)', 'POINT (-3830.1251663257863 5503.804391877705)']"
40,2022-03-01 13:55:00+00:00,2022-03-01 14:05:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (1751.6446208675727 4087.792675610414)', 'POINT (1667.4247864761464 4236.02842303846)']"
41,2022-03-01 13:35:00+00:00,2022-03-01 13:40:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (1759.090486729114 4008.9871413653063)']"
42,2022-03-01 14:55:00+00:00,2022-03-01 15:05:00+00:00,"['POINT (-1176.8013302032396 5846.6471242364805)', 'POINT (-870.7563568970724 5575.685938302714)', 'POINT (-732.6475689091794 5422.305564115489)']"
42,2022-03-01 07:55:00+00:00,2022-03-01 08:05:00+00:00,"['POINT (-1176.8013302032396 5846.6471242364805)', 'POINT (-870.7563568970724 5575.685938302714)', 'POINT (-732.6475689091794 5422.305564115489)']"
43,2022-03-01 14:05:00+00:00,2022-03-01 14:15:00+00:00,"['POINT (-3136.1278958093117 6671.917461867151)', 'POINT (-3522.074467821355 6663.545600635845)', 'POINT (-3469.3518940418007 6842.73477296929)']"
44,2022-03-01 10:25:00+00:00,2022-03-01 10:30:00+00:00,"['POINT (631.5130723031391 2001.4772026036535)', 'POINT (708.6355197738827 2001.271402474011)']"
44,2022-03-01 21:00:00+00:00,2022-03-01 21:10:00+00:00,"['POINT (413.840000705876 1194.128694228948)', 'POINT (653.0249310096121 1045.6277551766495)', 'POINT (592.6865615487636 626.0149920329762)']"
45,2022-03-01 12:20:00+00:00,2022-03-01 12:25:00+00:00,"['POINT (698.2411158717262 4392.416668183332)', 'POINT (702.3345224456589 4410.392534555216)']"
46,2022-03-01 08:15:00+00:00,2022-03-01 08:25:00+00:00,"['POINT (-4002.9335312988205 6671.996711133368)', 'POINT (-3738.6287116642584 6730.676079805594)', 'POINT (-3685.050945556353 6800.57818178281)']"
46,2022-03-01 15:35:00+00:00,2022-03-01 15:45:00+00:00,"['POINT (-4002.9335312988205 6671.996711133368)', 'POINT (-3738.6287116642584 6730.676079805594)', 'POINT (-3685.050945556353 6800.57818178281)']"
47,2022-03-01 13:50:00+00:00,2022-03-01 13:55:00+00:00,"['POINT (413.840000705876 1194.128694228948)', 'POINT (802.6432613172313 1270.237768185861)']"
47,2022-03-01 20:15:00+00:00,2022-03-01 20:35:00+00:00,"['POINT (698.2411158717262 4392.416668183332)', 'POINT (401.00364888735993 4632.191656083583)', 'POINT (53.71315310962717 4727.81027677455)', 'POINT (-230.4186780140786 4884.415495659691)', 'POINT (-247.43558410299536 5026.515657023061)']"
48,2022-03-01 14:25:00+00:00,2022-03-01 14:40:00+00:00,"['POINT (497.9967937001494 1624.515148185587)', 'POINT (21.75570206567331 1659.4249457825504)', 'POINT (-397.09115213460416 1661.086640136248)', 'POINT (-883.593300715607 1541.1523578040474)']"
48,2022-03-01 20:50:00+00:00,2022-03-01 21:05:00+00:00,"['POINT (-820.9290279479601 4497.243308530136)', 'POINT (-485.3628417410773 4408.495089625616)', 'POINT (-452.16093775275687 3989.9925773844875)', 'POINT (-224.21767340576338 3863.2295607915516)']"
49,2022-03-01 08:15:00+00:00,2022-03-01 08:20:00+00:00,"['POINT (-3927.9102395808727 5494.63962663673)', 'POINT (-3827.2457522625414 5494.96128560201)']"
49,2022-03-01 15:55:00+00:00,2022-03-01 16:00:00+00:00,"['POINT (-3927.9102395808727 5494.63962663673)', 'POINT (-3827.2457522625414 5494.96128560201)']"
50,2022-03-01 12:35:00+00:00,2022-03-01 12:40:00+00:00,"['POINT (497.9967937001494 1624.515148185587)', 'POINT (749.3658990709515 1751.7548584668007)']"
51,2022-03-01 12:00:00+00:00,2022-03-01 12:05:00+00:00,"['POINT (631.5130723031391 2001.4772026036535)', 'POINT (835.124325461093 2171.4209896265206)']"
51,2022-03-01 18:05:00+00:00,2022-03-01 18:15:00+00:00,"['POINT (413.840000705876 1194.128694228948)', 'POINT (653.0249310096121 1045.6277551766495)', 'POINT (775.596551573813 940.5258849582337)']"
52,2022-03-01 13:35:00+00:00,2022-03-01 13:40:00+00:00,"['POINT (631.5130723031391 2001.4772026036535)', 'POINT (920.2330694532365 2092.9979456647757)']"
52,2022-03-01 19:40:00+00:00,2022-03-01 20:00:00+00:00,"['POINT (698.2411158717262 4392.416668183332)', 'POINT (401.00364888735993 4632.191656083583)', 'POINT (53.71315310962717 4727.81027677455)', 'POINT (-230.4186780140786 4884.415495659691)', 'POINT (-257.34341765448846 5016.253711943527)']"
53,2022-03-01 09:50:00+00:00,2022-03-01 09:55:00+00:00,"['POINT (-4002.9335312988205 6671.996711133368)', 'POINT (-3729.5498572375923 6562.798360023129)']"
53,2022-03-01 19:45:00+00:00,2022-03-01 19:50:00+00:00,"['POINT (-4002.9335312988205 6671.996711133368)', 'POINT (-3800.791666417615 6371.303084504356)']"
54,2022-03-01 11:15:00+00:00,2022-03-01 11:25:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (930.4149642879935 4060.0495537933452)', 'POINT (891.3689194539413 4222.3434401386785)']"
55,2022-03-01 19:30:00+00:00,2022-03-01 19:40:00+00:00,"['POINT (413.840000705876 1194.128694228948)', 'POINT (653.0249310096121 1045.6277551766495)', 'POINT (765.5361313973874 926.0398294935233)']"
55,2022-03-01 13:40:00+00:00,2022-03-01 14:00:00+00:00,"['POINT (497.9967937001494 1624.515148185587)', 'POINT (21.75570206567331 1659.4249457825504)', 'POINT (-397.09115213460416 1661.086640136248)', 'POINT (-811.824901059456 1602.2205955346656)', 'POINT (-1354.7760018008055 1603.9169920437566)']"
56,2022-03-01 15:40:00+00:00,2022-03-01 15:50:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (1769.403996939719 4069.050012911854)', 'POINT (2037.2827034946054 4147.035074726804)']"
56,2022-03-01 07:50:00+00:00,2022-03-01 08:00:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (1769.403996939719 4069.050012911854)', 'POINT (2037.2827034946054 4147.035074726804)']"
57,2022-03-01 08:40:00+00:00,2022-03-01 08:50:00+00:00,"['POINT (413.840000705876 1194.128694228948)', 'POINT (653.0249310096121 1045.6277551766495)', 'POINT (859.77069892671 971.0679533787439)']"
57,2022-03-01 18:35:00+00:00,2022-03-01 19:00:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (1769.403996939719 4069.050012911854)', 'POINT (2187.366673077496 4092.503681482765)', 'POINT (2203.6747213035105 4486.73430093518)', 'POINT (2163.0709629213466 4903.515205351129)', 'POINT (2205.7400940450148 5216.3176837740175)']"
58,2022-03-01 09:30:00+00:00,2022-03-01 09:35:00+00:00,"['POINT (-2126.1723943111892 4285.182228265561)', 'POINT (-1974.2151185449436 4034.4896242613513)']"
58,2022-03-01 19:00:00+00:00,2022-03-01 19:05:00+00:00,"['POINT (-1623.0740591441258 3872.0300113645017)', 'POINT (-1708.53300418358 3867.277390505847)']"
59,2022-03-01 10:00:00+00:00,2022-03-01 10:05:00+00:00,"['POINT (-1623.0740591441258 3872.0300113645017)', 'POINT (-1506.5811840261297 4244.544072812886)']"
59,2022-03-01 20:00:00+00:00,2022-03-01 20:05:00+00:00,"['POINT (-4002.9335312988205 6671.996711133368)', 'POINT (-3802.796709409165 6354.202201481447)']"
60,2022-03-01 15:00:00+00:00,2022-03-01 15:10:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (930.4149642879935 4060.0495537933452)', 'POINT (799.5367819042242 4115.728291873062)']"
61,2022-03-01 13:45:00+00:00,2022-03-01 14:00:00+00:00,"['POINT (497.9967937001494 1624.515148185587)', 'POINT (21.75570206567331 1659.4249457825504)', 'POINT (-397.09115213460416 1661.086640136248)', 'POINT (-903.9851200898735 1585.1394786781782)']"
61,2022-03-01 19:55:00+00:00,2022-03-01 20:05:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (1751.6446208675727 4087.792675610414)', 'POINT (1809.0221955005843 4353.543910083794)']"
62,2022-03-01 16:25:00+00:00,2022-03-01 16:30:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (1493.9115734394481 4027.657310634188)']"
62,2022-03-01 08:20:00+00:00,2022-03-01 08:25:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (1493.9115734394481 4027.657310634188)']"
63,2022-03-01 21:45:00+00:00,2022-03-01 21:55:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (930.4149642879935 4060.0495537933452)', 'POINT (951.3399254426391 3989.0233583756503)']"
63,2022-03-01 14:40:00+00:00,2022-03-01 15:05:00+00:00,"['POINT (497.9967937001494 1624.515148185587)', 'POINT (21.75570206567331 1659.4249457825504)', 'POINT (-397.09115213460416 1661.086640136248)', 'POINT (-811.824901059456 1602.2205955346656)', 'POINT (-1229.208372616523 1579.6575513518549)', 'POINT (-1687.9610980714185 1635.5719434169594)']"
64,2022-03-01 14:15:00+00:00,2022-03-01 14:30:00+00:00,"['POINT (497.9967937001494 1624.515148185587)', 'POINT (21.75570206567331 1659.4249457825504)', 'POINT (-397.09115213460416 1661.086640136248)', 'POINT (-895.2569930881962 1548.3743520027913)']"
64,2022-03-01 21:15:00+00:00,2022-03-01 21:30:00+00:00,"['POINT (497.9967937001494 1624.515148185587)', 'POINT (21.75570206567331 1659.4249457825504)', 'POINT (-382.9604832146591 1674.1342220884114)', 'POINT (-496.78679320129623 1847.4222323734825)']"
65,2022-03-01 09:45:00+00:00,2022-03-01 09:55:00+00:00,"['POINT (413.840000705876 1194.128694228948)', 'POINT (63.43081776575146 1384.251791281545)', 'POINT (-93.29092385614096 1418.676971527719)']"
66,2022-03-01 10:30:00+00:00,2022-03-01 10:50:00+00:00,"['POINT (497.9967937001494 1624.515148185587)', 'POINT (21.75570206567331 1659.4249457825504)', 'POINT (-397.09115213460416 1661.086640136248)', 'POINT (-811.824901059456 1602.2205955346656)', 'POINT (-893.8321909221762 1338.1707972613203)']"
66,2022-03-01 22:05:00+00:00,2022-03-01 22:25:00+00:00,"['POINT (497.9967937001494 1624.515148185587)', 'POINT (21.75570206567331 1659.4249457825504)', 'POINT (-397.09115213460416 1661.086640136248)', 'POINT (-811.824901059456 1602.2205955346656)', 'POINT (-1011.1007975934829 1342.738828543158)']"
67,2022-03-01 14:10:00+00:00,2022-03-01 14:15:00+00:00,"['POINT (698.2411158717262 4392.416668183332)', 'POINT (862.3838503250334 4403.482976251685)']"
67,2022-03-01 21:35:00+00:00,2022-03-01 22:05:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (1769.403996939719 4069.050012911854)', 'POINT (2187.366673077496 4092.503681482765)', 'POINT (2203.6747213035105 4486.73430093518)', 'POINT (2163.0709629213466 4903.515205351129)', 'POINT (2141.200934662937 5297.303006794203)', 'POINT (1743.037507219923 5258.894946703521)']"
68,2022-03-01 22:00:00+00:00,2022-03-01 22:35:00+00:00,"['POINT (497.9967937001494 1624.515148185587)', 'POINT (21.75570206567331 1659.4249457825504)', 'POINT (-397.09115213460416 1661.086640136248)', 'POINT (-811.824901059456 1602.2205955346656)', 'POINT (-1168.359774420459 1524.0469195318165)', 'POINT (-1296.7686878848117 1215.8689091608553)', 'POINT (-1441.0634421695918 934.8224057505075)', 'POINT (-1473.590901147153 877.1033836945335)']"
68,2022-03-01 13:50:00+00:00,2022-03-01 13:55:00+00:00,"['POINT (413.840000705876 1194.128694228948)', 'POINT (398.7335757496285 1034.209755081372)']"
69,2022-03-01 13:15:00+00:00,2022-03-01 13:20:00+00:00,"['POINT (698.2411158717262 4392.416668183332)', 'POINT (437.6518999634884 4326.142300989137)']"
70,2022-03-01 09:00:00+00:00,2022-03-01 09:10:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (1769.403996939719 4069.050012911854)', 'POINT (2031.711586087642 4144.26661051721)']"
71,2022-03-01 13:30:00+00:00,2022-03-01 13:35:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (1525.8068289751614 4031.119648379075)']"
72,2022-03-01 09:00:00+00:00,2022-03-01 09:10:00+00:00,"['POINT (-1989.63526350385 3368.764837974986)', 'POINT (-2168.6823191398194 3214.1997724766597)', 'POINT (-2388.3371377233902 2956.291327983998)']"
72,2022-03-01 17:15:00+00:00,2022-03-01 17:25:00+00:00,"['POINT (-1989.63526350385 3368.764837974986)', 'POINT (-2168.6823191398194 3214.1997724766597)', 'POINT (-2388.3371377233902 2956.291327983998)']"
73,2022-03-01 08:10:00+00:00,2022-03-01 08:20:00+00:00,"['POINT (631.5130723031391 2001.4772026036535)', 'POINT (646.5072927151671 2376.165197219661)', 'POINT (600.8273213901347 2546.9382985598104)']"
73,2022-03-01 15:30:00+00:00,2022-03-01 15:40:00+00:00,"['POINT (631.5130723031391 2001.4772026036535)', 'POINT (646.5072927151671 2376.165197219661)', 'POINT (600.8273213901347 2546.9382985598104)']"
74,2022-03-01 18:35:00+00:00,2022-03-01 18:55:00+00:00,"['POINT (-1176.8013302032396 5846.6471242364805)', 'POINT (-870.7563568970724 5575.685938302714)', 'POINT (-607.1623593614866 5383.159695230111)', 'POINT (-269.4213713390231 5296.564017994406)', 'POINT (1.9755335623945705 5341.431450701076)']"
74,2022-03-01 12:10:00+00:00,2022-03-01 12:20:00+00:00,"['POINT (497.9967937001494 1624.515148185587)', 'POINT (21.75570206567331 1659.4249457825504)', 'POINT (-339.546897736237 1796.0387829811268)']"
75,2022-03-01 10:15:00+00:00,2022-03-01 10:20:00+00:00,"['POINT (698.2411158717262 4392.416668183332)', 'POINT (1007.7528316733599 4474.998585922508)']"
76,2022-03-01 08:30:00+00:00,2022-03-01 08:35:00+00:00,"['POINT (497.9967937001494 1624.515148185587)', 'POINT (640.3918081678397 1731.8929460381073)']"
76,2022-03-01 16:45:00+00:00,2022-03-01 16:50:00+00:00,"['POINT (497.9967937001494 1624.515148185587)', 'POINT (640.3918081678397 1731.8929460381073)']"
77,2022-03-01 12:40:00+00:00,2022-03-01 12:55:00+00:00,"['POINT (497.9967937001494 1624.515148185587)', 'POINT (21.75570206567331 1659.4249457825504)', 'POINT (-397.09115213460416 1661.086640136248)', 'POINT (-891.636374764345 1544.823001044293)']"
78,2022-03-01 14:25:00+00:00,2022-03-01 14:40:00+00:00,"['POINT (-2126.1723943111892 4285.182228265561)', 'POINT (-2035.6466821373426 4747.380166356886)', 'POINT (-2171.8332217776797 5056.986837043644)', 'POINT (-2376.548771362833 5212.036957888324)']"
79,2022-03-01 12:20:00+00:00,2022-03-01 12:25:00+00:00,"['POINT (-1771.452216635636 4343.580176583138)', 'POINT (-1689.8280452582974 4247.65257499782)']"
80,2022-03-01 20:15:00+00:00,2022-03-01 20:35:00+00:00,"['POINT (698.2411158717262 4392.416668183332)', 'POINT (401.00364888735993 4632.191656083583)', 'POINT (53.71315310962717 4727.81027677455)', 'POINT (-230.4186780140786 4884.415495659691)', 'POINT (-255.97621238132888 5012.052152537244)']"
80,2022-03-01 13:35:00+00:00,2022-03-01 13:45:00+00:00,"['POINT (413.840000705876 1194.128694228948)', 'POINT (63.43081776575146 1384.251791281545)', 'POINT (-77.47564616657357 1408.9788278552737)']"
81,2022-03-01 13:35:00+00:00,2022-03-01 13:50:00+00:00,"['POINT (698.2411158717262 4392.416668183332)', 'POINT (604.4333856450602 4151.421139320504)', 'POINT (618.6701169170694 3734.1107552804774)', 'POINT (667.9662740932497 3611.7187084454636)']"
82,2022-03-01 13:40:00+00:00,2022-03-01 13:45:00+00:00,"['POINT (497.9967937001494 1624.515148185587)', 'POINT (510.48587067778806 1372.2821310932004)']"
83,2022-03-01 09:10:00+00:00,2022-03-01 09:20:00+00:00,"['POINT (-3136.1278958093117 6671.917461867151)', 'POINT (-3255.641621427146 6240.453417100578)', 'POINT (-3597.406517246464 6181.991499047801)']"
83,2022-03-01 17:10:00+00:00,2022-03-01 17:20:00+00:00,"['POINT (-3136.1278958093117 6671.917461867151)', 'POINT (-3255.641621427146 6240.453417100578)', 'POINT (-3597.406517246464 6181.991499047801)']"
84,2022-03-01 12:30:00+00:00,2022-03-01 12:40:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (930.4149642879935 4060.0495537933452)', 'POINT (906.1805836482198 4233.265845525495)']"
84,2022-03-01 19:20:00+00:00,2022-03-01 19:55:00+00:00,"['POINT (497.9967937001494 1624.515148185587)', 'POINT (21.75570206567331 1659.4249457825504)', 'POINT (-397.09115213460416 1661.086640136248)', 'POINT (-811.824901059456 1602.2205955346656)', 'POINT (-1229.208372616523 1579.6575513518549)', 'POINT (-1644.3741734145933 1589.334317315271)', 'POINT (-1598.6610330824462 2000.1089055325706)', 'POINT (-1947.9008938556433 2093.9206315099636)']"
85,2022-03-01 15:40:00+00:00,2022-03-01 15:45:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (1211.775524482336 4017.058731753456)']"
85,2022-03-01 08:25:00+00:00,2022-03-01 08:30:00+00:00,"['POINT (1407.7107695149243 4010.4574815269225)', 'POINT (1211.775524482336 4017.058731753456)']"
86,2022-03-01 13:15:00+00:00,2022-03-01 13:25:00+00:00,"['POINT (413.840000705876 1194.128694228948)', 'POINT (63.43081776575146 1384.251791281545)', 'POINT (-90.08031517165666 1431.9778294915325)']"
